2013-05-17 01:28:08.052
antenna	 u coordinate	 v coordinate	 w coordinate
1	271.075838521	108.093835406	-214.328719302
2	528.147588878	145.884863936	-416.423818528
3	845.017440817	97.6176219534	-654.423064079
4	992.086470914	153.806651045	-766.900030594
5	425.231769398	380.717226555	-339.459304187
6	505.886674438	378.372997269	-403.334951205
7	229.692538465	486.529093877	-190.535295377
8	464.747804589	290.232066276	-368.912549035
9	529.592879965	785.185730577	-431.525730505
10	920.967914834	619.292403761	-731.7250338
11	259.333438353	752.657532398	-221.880563991
12	775.964185768	1442.50642224	-644.346028634
13	754.329638785	902.620657166	-613.257224342
14	1870.66299834	-74.7513888823	-1452.52637339
15	3200.53231965	-558.105395817	-2469.89080864
16	5129.79607513	-1567.35801199	-3926.05167755
17	7011.33475539	-3345.05305259	-5317.25409799
18	8451.38671362	-5914.54538097	-6297.31406155
19	11100.3593042	-6286.36673176	-8318.37279647
20	-1388.69977794	-1518.82246249	1166.85638669
21	-2496.42943634	-2955.27109383	2115.28995048
22	-4722.26952853	-4725.04410602	3913.81156423
23	-6472.98622589	-5758.44017093	5304.2657011
24	-7643.66763247	-7436.93733584	6261.88001087
25	-565.920568357	2863.61581864	345.997211213
26	-134.380009312	4617.5340526	-66.7226015688
27	-1141.98561644	6628.16992821	631.093568081
28	-2185.92766472	9120.35395771	1334.1978486
29	-2169.17593158	13955.6504355	1111.57526663
2013-05-17 01:28:09.814
antenna	 u coordinate	 v coordinate	 w coordinate
0	0.0	0.0	0.0
1	271.071468599	108.095683429	-214.333314106
2	528.139535685	145.888464513	-416.432770766
3	845.00568245	97.623382752	-654.437387354
4	992.07242293	153.813414467	-766.916846726
5	425.22341985	380.72012551	-339.46651196
6	505.877258142	378.376446079	-403.343526101
7	229.685991906	486.530659765	-190.5391887
8	464.739572666	290.235234629	-368.920426621
9	529.580212407	785.189340991	-431.534707203
10	920.95128968	619.298682329	-731.740644424
11	259.324546165	752.659300352	-221.884959719
12	775.94342955	1442.51171224	-644.359181353
13	754.313090167	902.625799691	-613.270010383
14	1870.63888675	-74.7386358695	-1452.55808165
15	3200.49425835	-558.083576574	-2469.94505859
16	5129.74021151	-1567.32304021	-3926.13862912
17	7011.26742932	-3345.00525361	-5317.37294227
18	8451.32029222	-5914.48776455	-6297.45731528
19	11100.2611595	-6286.29105628	-8318.56095104
20	-1388.66964459	-1518.83192974	1166.87992544
21	-2496.37343362	-2955.28811285	2115.33226546
22	-4722.17097451	-4725.07629938	3913.8916077
23	-6472.85705774	-5758.48429955	5304.37541964
24	-7643.51078917	-7436.98944539	6262.00957268
25	-565.934225946	2863.61196047	346.006803903
26	-134.412619932	4617.53313637	-66.720323499
27	-1142.02010598	6628.16214269	631.112925473
28	-2185.96722647	9120.33905519	1334.23490126
29	-2169.25223111	13955.6356471	1111.61203565
2013-05-17 01:28:10.065
antenna	 u coordinate	 v coordinate	 w coordinate
0	0.0	0.0	0.0
1	271.067098587	108.097531422	-214.337908836
2	528.131482317	145.892065034	-416.441722869
3	844.993923801	97.6291434704	-654.451710429
4	992.058374615	153.820177793	-766.933662621
5	425.215070161	380.723024408	-339.473719592
6	505.867841677	378.379894824	-403.352100838
7	229.679445271	486.532225609	-190.543081911
8	464.731340588	290.238402925	-368.928304068
9	529.567544672	785.192951319	-431.543683687
10	920.934664219	619.304960784	-731.756254766
11	259.315653891	752.661068246	-221.889355295
12	775.922673074	1442.5170021	-644.37233372
13	754.296541296	902.630942104	-613.282796143
14	1870.61477454	-74.725883021	-1452.58978951
15	3200.45619598	-558.061757591	-2469.99930789
