['2013', '07', '02', '07', '10', '38', '0.670464', '0']
['2013', '07', '02', '07', '10', '39', '0.677120', '0']
['2013', '07', '02', '07', '10', '40', '0.683776', '0']
['2013', '07', '02', '07', '10', '41', '0.690432', '0']
['2013', '07', '02', '07', '10', '42', '0.697088', '0']
['2013', '07', '02', '07', '10', '43', '0.703744', '0']
['2013', '07', '02', '07', '10', '44', '0.458496', '0']
['2013', '07', '02', '07', '10', '45', '0.465152', '0']
['2013', '07', '02', '07', '10', '46', '0.471808', '0']
['2013', '07', '02', '07', '10', '47', '0.478464', '0']
['2013', '07', '02', '07', '10', '48', '0.484864', '0']
['2013', '07', '02', '07', '10', '49', '0.491520', '0']
['2013', '07', '02', '07', '10', '50', '0.498176', '0']
['2013', '07', '02', '07', '10', '51', '0.504832', '0']
['2013', '07', '02', '07', '10', '52', '0.511488', '0']
['2013', '07', '02', '07', '10', '53', '0.518144', '0']
['2013', '07', '02', '07', '10', '54', '0.524800', '0']
['2013', '07', '02', '07', '10', '55', '0.531456', '0']
['2013', '07', '02', '07', '10', '56', '0.538112', '0']
['2013', '07', '02', '07', '10', '57', '0.544768', '0']
['2013', '07', '02', '07', '10', '58', '0.551424', '0']
['2013', '07', '02', '07', '10', '59', '0.557824', '0']
['2013', '07', '02', '07', '11', '00', '0.564480', '0']
['2013', '07', '02', '07', '11', '01', '0.571136', '0']
['2013', '07', '02', '07', '11', '02', '0.577792', '0']
['2013', '07', '02', '07', '11', '03', '0.584448', '0']
['2013', '07', '02', '07', '11', '04', '0.591104', '0']
['2013', '07', '02', '07', '11', '05', '0.597760', '0']
['2013', '07', '02', '07', '11', '06', '0.604416', '0']
['2013', '07', '02', '07', '11', '07', '0.611072', '0']
['2013', '07', '02', '07', '11', '08', '0.617728', '0']
['2013', '07', '02', '07', '11', '09', '0.624128', '0']
['2013', '07', '02', '07', '11', '10', '0.630784', '0']
['2013', '07', '02', '07', '11', '11', '0.637440', '0']
['2013', '07', '02', '07', '11', '12', '0.644096', '0']
['2013', '07', '02', '07', '11', '13', '0.650752', '0']
['2013', '07', '02', '07', '11', '14', '0.657408', '0']
['2013', '07', '02', '07', '11', '15', '0.664064', '0']
['2013', '07', '02', '07', '11', '16', '0.670720', '0']
['2013', '07', '02', '07', '11', '17', '0.677376', '0']
['2013', '07', '02', '07', '11', '18', '0.684032', '0']
['2013', '07', '02', '07', '11', '19', '0.690688', '0']
['2013', '07', '02', '07', '11', '20', '0.697088', '0']
['2013', '07', '02', '07', '11', '21', '0.703744', '0']
['2013', '07', '02', '07', '11', '22', '0.710400', '0']
['2013', '07', '02', '07', '11', '23', '0.717056', '0']
['2013', '07', '02', '07', '11', '24', '0.723712', '0']
['2013', '07', '02', '07', '11', '25', '0.730368', '0']
['2013', '07', '02', '07', '11', '26', '0.737024', '0']
['2013', '07', '02', '07', '11', '27', '0.743680', '0']
['2013', '07', '02', '07', '11', '28', '0.498688', '0']
['2013', '07', '02', '07', '11', '29', '0.505344', '0']
['2013', '07', '02', '07', '11', '30', '0.512000', '0']
['2013', '07', '02', '07', '11', '31', '0.518656', '0']
['2013', '07', '02', '07', '11', '32', '0.525312', '0']
['2013', '07', '02', '07', '11', '33', '0.531968', '0']
['2013', '07', '02', '07', '11', '34', '0.538624', '0']
['2013', '07', '02', '07', '11', '35', '0.545024', '0']
['2013', '07', '02', '07', '11', '36', '0.551936', '0']
['2013', '07', '02', '07', '11', '37', '0.558336', '0']
['2013', '07', '02', '07', '11', '38', '0.564992', '0']
['2013', '07', '02', '07', '11', '39', '0.571648', '0']
['2013', '07', '02', '07', '11', '40', '0.578304', '0']
['2013', '07', '02', '07', '11', '41', '0.584960', '0']
['2013', '07', '02', '07', '11', '42', '0.591616', '0']
['2013', '07', '02', '07', '11', '43', '0.598272', '0']
['2013', '07', '02', '07', '11', '44', '0.353024', '0']
['2013', '07', '02', '07', '11', '45', '0.359680', '0']
['2013', '07', '02', '07', '11', '46', '0.366336', '0']
['2013', '07', '02', '07', '11', '47', '0.372992', '0']
['2013', '07', '02', '07', '11', '48', '0.379648', '0']
['2013', '07', '02', '07', '11', '49', '0.386304', '0']
['2013', '07', '02', '07', '11', '50', '0.392960', '0']
['2013', '07', '02', '07', '11', '51', '0.399360', '0']
['2013', '07', '02', '07', '11', '52', '0.406016', '0']
['2013', '07', '02', '07', '11', '53', '0.412672', '0']
['2013', '07', '02', '07', '11', '54', '0.419328', '0']
['2013', '07', '02', '07', '11', '55', '0.425984', '0']
['2013', '07', '02', '07', '11', '56', '0.432640', '0']
['2013', '07', '02', '07', '11', '57', '0.439296', '0']
['2013', '07', '02', '07', '11', '58', '0.445952', '0']
['2013', '07', '02', '07', '11', '59', '0.452608', '0']
['2013', '07', '02', '07', '12', '00', '0.459264', '0']
['2013', '07', '02', '07', '12', '01', '0.465664', '0']
['2013', '07', '02', '07', '12', '02', '0.472320', '0']
['2013', '07', '02', '07', '12', '03', '0.227584', '0']
['2013', '07', '02', '07', '12', '03', '0.982272', '0']
['2013', '07', '02', '07', '12', '04', '0.988928', '0']
['2013', '07', '02', '07', '12', '05', '0.744192', '0']
['2013', '07', '02', '07', '12', '06', '0.750848', '0']
['2013', '07', '02', '07', '12', '07', '0.757248', '0']
['2013', '07', '02', '07', '12', '08', '0.512256', '0']
['2013', '07', '02', '07', '12', '09', '0.518912', '0']
['2013', '07', '02', '07', '12', '10', '0.525568', '0']
['2013', '07', '02', '07', '12', '11', '0.532224', '0']
['2013', '07', '02', '07', '12', '12', '0.538624', '0']
['2013', '07', '02', '07', '12', '13', '0.545280', '0']
['2013', '07', '02', '07', '12', '14', '0.551936', '0']
['2013', '07', '02', '07', '12', '15', '0.558592', '0']
['2013', '07', '02', '07', '12', '16', '0.565248', '0']
['2013', '07', '02', '07', '12', '17', '0.571904', '0']
['2013', '07', '02', '07', '12', '18', '0.578560', '0']
['2013', '07', '02', '07', '12', '19', '0.585216', '0']
['2013', '07', '02', '07', '12', '20', '0.591872', '0']
['2013', '07', '02', '07', '12', '21', '0.598528', '0']
['2013', '07', '02', '07', '12', '22', '0.604928', '0']
['2013', '07', '02', '07', '12', '23', '0.360192', '0']
['2013', '07', '02', '07', '12', '24', '0.366848', '0']
['2013', '07', '02', '07', '12', '25', '0.373504', '0']
['2013', '07', '02', '07', '12', '26', '0.380160', '0']
['2013', '07', '02', '07', '12', '27', '0.134912', '0']
['2013', '07', '02', '07', '12', '28', '0.141568', '0']
['2013', '07', '02', '07', '12', '28', '0.896512', '0']
['2013', '07', '02', '07', '12', '29', '0.903168', '0']
['2013', '07', '02', '07', '12', '30', '0.909824', '0']
['2013', '07', '02', '07', '12', '31', '0.916480', '0']
['2013', '07', '02', '07', '12', '32', '0.923136', '0']
['2013', '07', '02', '07', '12', '33', '0.929792', '0']
['2013', '07', '02', '07', '12', '34', '0.936448', '0']
['2013', '07', '02', '07', '12', '35', '0.943104', '0']
['2013', '07', '02', '07', '12', '36', '0.949760', '0']
['2013', '07', '02', '07', '12', '37', '0.956416', '0']
['2013', '07', '02', '07', '12', '38', '0.963072', '0']
['2013', '07', '02', '07', '12', '39', '0.969728', '0']
['2013', '07', '02', '07', '12', '40', '0.976128', '0']
['2013', '07', '02', '07', '12', '41', '0.982784', '0']
['2013', '07', '02', '07', '12', '42', '0.989440', '0']
['2013', '07', '02', '07', '12', '43', '0.996096', '0']
['2013', '07', '02', '07', '12', '45', '0.002816', '0']
['2013', '07', '02', '07', '12', '46', '0.009472', '0']
['2013', '07', '02', '07', '12', '47', '0.015872', '0']
['2013', '07', '02', '07', '12', '48', '0.022528', '0']
['2013', '07', '02', '07', '12', '49', '0.029184', '0']
['2013', '07', '02', '07', '12', '50', '0.035840', '0']
['2013', '07', '02', '07', '12', '51', '0.042496', '0']
['2013', '07', '02', '07', '12', '52', '0.049152', '0']
['2013', '07', '02', '07', '12', '53', '0.055808', '0']
['2013', '07', '02', '07', '12', '53', '0.810752', '0']
['2013', '07', '02', '07', '12', '54', '0.817152', '0']
['2013', '07', '02', '07', '12', '55', '0.823808', '0']
['2013', '07', '02', '07', '12', '56', '0.830464', '0']
['2013', '07', '02', '07', '12', '57', '0.837120', '0']
['2013', '07', '02', '07', '12', '58', '0.843776', '0']
['2013', '07', '02', '07', '12', '59', '0.850432', '0']
['2013', '07', '02', '07', '13', '00', '0.857088', '0']
['2013', '07', '02', '07', '13', '01', '0.863744', '0']
['2013', '07', '02', '07', '13', '02', '0.870400', '0']
['2013', '07', '02', '07', '13', '03', '0.877056', '0']
['2013', '07', '02', '07', '13', '04', '0.883712', '0']
['2013', '07', '02', '07', '13', '05', '0.890112', '0']
['2013', '07', '02', '07', '13', '06', '0.896768', '0']
['2013', '07', '02', '07', '13', '07', '0.903424', '0']
['2013', '07', '02', '07', '13', '08', '0.910080', '0']
['2013', '07', '02', '07', '13', '09', '0.916736', '0']
['2013', '07', '02', '07', '13', '10', '0.923392', '0']
['2013', '07', '02', '07', '13', '11', '0.930048', '0']
['2013', '07', '02', '07', '13', '12', '0.936704', '0']
['2013', '07', '02', '07', '13', '13', '0.943360', '0']
['2013', '07', '02', '07', '13', '14', '0.950016', '0']
['2013', '07', '02', '07', '13', '15', '0.956416', '0']
['2013', '07', '02', '07', '13', '16', '0.711680', '0']
['2013', '07', '02', '07', '13', '17', '0.718336', '0']
['2013', '07', '02', '07', '13', '18', '0.724992', '0']
['2013', '07', '02', '07', '13', '19', '0.731648', '0']
['2013', '07', '02', '07', '13', '20', '0.738304', '0']
['2013', '07', '02', '07', '13', '21', '0.744704', '0']
['2013', '07', '02', '07', '13', '22', '0.751360', '0']
['2013', '07', '02', '07', '13', '23', '0.758016', '0']
['2013', '07', '02', '07', '13', '24', '0.764672', '0']
['2013', '07', '02', '07', '13', '25', '0.771328', '0']
['2013', '07', '02', '07', '13', '26', '0.777984', '0']
['2013', '07', '02', '07', '13', '27', '0.784640', '0']
['2013', '07', '02', '07', '13', '28', '0.791296', '0']
['2013', '07', '02', '07', '13', '29', '0.797952', '0']
['2013', '07', '02', '07', '13', '30', '0.804608', '0']
['2013', '07', '02', '07', '13', '31', '0.811008', '0']
['2013', '07', '02', '07', '13', '32', '0.817664', '0']
['2013', '07', '02', '07', '13', '33', '0.824320', '0']
['2013', '07', '02', '07', '13', '34', '0.830976', '0']
['2013', '07', '02', '07', '13', '35', '0.837632', '0']
['2013', '07', '02', '07', '13', '36', '0.844288', '0']
['2013', '07', '02', '07', '13', '37', '0.850944', '0']
