51 3 0 duplicate
51 0 1 duplicate
52 2 0  
52 3 1  
53 0 0 duplicate
53 1 1 duplicate
54 1 0 duplicate
54 2 1 duplicate
55 3 0  
55 3 1  
56 2 0 duplicate
56 0 1 duplicate
57 0 0 duplicate
57 2 1 duplicate
58 1 0  
58 1 1  
59 3 0  
59 3 1  
60 2 0 duplicate
60 0 1 duplicate
61 0 0 duplicate
61 2 1 duplicate
62 1 0 duplicate
62 1 1 duplicate
63 3 0 duplicate
63 3 1 duplicate
64 0 0 duplicate
64 0 1 duplicate
65 2 0 duplicate
65 2 1 duplicate
66 1 0  
66 1 1  
67 3 0 duplicate
67 3 1 duplicate
68 0 0 duplicate
68 0 1 duplicate
69 2 0 duplicate
69 2 1 duplicate
70 1 0 duplicate
70 1 1 duplicate
71 3 0 duplicate
71 3 1 duplicate
72 0 0 duplicate
72 0 1 duplicate
73 2 0 duplicate
73 2 1 duplicate
74 1 0 duplicate
74 3 1 duplicate
75 3 0 duplicate
75 1 1 duplicate
76 0 0 duplicate
76 0 1 duplicate
77 2 0 duplicate
77 2 1 duplicate
78 1 0 duplicate
78 3 1 duplicate
79 0 0 duplicate
79 1 1 duplicate
80 3 0 duplicate
80 0 1 duplicate
81 2 0 duplicate
81 2 1 duplicate
82 0 0 duplicate
82 3 1 duplicate
83 1 0 duplicate
83 1 1 duplicate
84 3 0 duplicate
84 0 1 duplicate
85 2 0  
85 2 1  
86 0 0 duplicate
86 3 1 duplicate
87 1 0 duplicate
87 1 1 duplicate
88 3 0 duplicate
88 0 1 duplicate
89 2 0  
89 2 1  
90 0 0 duplicate
90 3 1 duplicate
91 1 0 duplicate
91 1 1 duplicate
92 3 0 duplicate
92 0 1 duplicate
93 2 0 duplicate
93 2 1 duplicate
94 0 0 duplicate
94 3 1 duplicate
95 1 0 duplicate
95 1 1 duplicate
96 3 0 duplicate
96 0 1 duplicate
97 2 0 duplicate
97 2 1 duplicate
98 0 0 duplicate
98 3 1 duplicate
99 1 0 duplicate
99 1 1 duplicate
100 3 0 duplicate
100 0 1 duplicate
101 0 0 duplicate
101 2 1 duplicate
102 2 0  
102 3 1  
103 1 0 duplicate
103 1 1 duplicate
104 0 0 duplicate
104 0 1 duplicate
105 3 0 duplicate
105 2 1 duplicate
106 2 0  
106 3 1  
107 1 0 duplicate
107 1 1 duplicate
108 0 0 duplicate
108 0 1 duplicate
109 2 0 duplicate
109 2 1 duplicate
110 3 0 duplicate
110 3 1 duplicate
111 1 0 duplicate
111 1 1 duplicate
112 0 0 duplicate
112 0 1 duplicate
113 2 0  
113 2 1  
114 3 0 duplicate
114 3 1 duplicate
115 1 0 duplicate
115 1 1 duplicate
116 0 0 duplicate
116 0 1 duplicate
117 2 0  
117 2 1  
118 3 0 duplicate
118 3 1 duplicate
119 1 0 duplicate
119 1 1 duplicate
120 0 0 duplicate
120 0 1 duplicate
121 2 0  
121 2 1  
122 3 0 duplicate
122 3 1 duplicate
123 1 0 duplicate
123 1 1 duplicate
124 0 0 duplicate
124 0 1 duplicate
125 2 0 duplicate
125 2 1 duplicate
126 3 0  
126 3 1  
127 1 0 duplicate
127 1 1 duplicate
128 0 0 duplicate
128 0 1 duplicate
129 2 0 duplicate
129 2 1 duplicate
130 3 0  
130 3 1  
131 1 0 duplicate
131 1 1 duplicate
132 0 0 duplicate
132 0 1 duplicate
133 2 0 duplicate
133 2 1 duplicate
134 3 0  
134 3 1  
135 1 0 duplicate
135 1 1 duplicate
136 0 0 duplicate
136 0 1 duplicate
137 2 0 duplicate
137 2 1 duplicate
138 3 0  
138 3 1  
139 1 0 duplicate
139 1 1 duplicate
140 0 0 duplicate
140 0 1 duplicate
141 2 0 duplicate
141 2 1 duplicate
142 3 0 duplicate
142 3 1 duplicate
143 1 0 duplicate
143 1 1 duplicate
144 0 0 duplicate
144 0 1 duplicate
145 2 0  
145 2 1  
146 3 0 duplicate
146 3 1 duplicate
147 1 0 duplicate
147 1 1 duplicate
148 0 0 duplicate
148 0 1 duplicate
149 2 0  
149 2 1  
150 3 0 duplicate
150 3 1 duplicate
151 1 0 duplicate
151 1 1 duplicate
152 0 0 duplicate
152 0 1 duplicate
153 2 0 duplicate
153 2 1 duplicate
154 3 0 duplicate
154 3 1 duplicate
155 1 0 duplicate
155 1 1 duplicate
156 0 0 duplicate
156 0 1 duplicate
157 2 0 duplicate
157 2 1 duplicate
158 3 0 duplicate
158 3 1 duplicate
159 1 0 duplicate
159 1 1 duplicate
160 0 0 duplicate
160 0 1 duplicate
161 2 0 duplicate
161 2 1 duplicate
162 3 0 duplicate
162 3 1 duplicate
163 1 0 duplicate
163 1 1 duplicate
164 0 0 duplicate
164 0 1 duplicate
165 2 0 duplicate
165 2 1 duplicate
166 3 0 duplicate
166 3 1 duplicate
167 1 0 duplicate
167 1 1 duplicate
168 0 0 duplicate
168 0 1 duplicate
169 2 0 duplicate
169 2 1 duplicate
170 3 0 duplicate
170 3 1 duplicate
171 1 0 duplicate
171 1 1 duplicate
172 0 0 duplicate
172 0 1 duplicate
173 2 0  
173 2 1  
174 3 0 duplicate
174 3 1 duplicate
175 1 0 duplicate
175 1 1 duplicate
176 0 0 duplicate
176 0 1 duplicate
177 2 0  
177 2 1  
178 3 0 duplicate
178 3 1 duplicate
179 1 0 duplicate
179 1 1 duplicate
180 0 0 duplicate
180 0 1 duplicate
181 2 0  
181 2 1  
182 3 0 duplicate
182 3 1 duplicate
183 1 0 duplicate
183 1 1 duplicate
184 0 0 duplicate
184 0 1 duplicate
185 2 0 duplicate
185 2 1 duplicate
186 3 0 duplicate
186 3 1 duplicate
187 1 0 duplicate
187 1 1 duplicate
188 0 0 duplicate
188 0 1 duplicate
189 2 0 duplicate
189 2 1 duplicate
190 3 0  
190 3 1  
191 1 0 duplicate
191 1 1 duplicate
192 0 0 duplicate
192 0 1 duplicate
193 2 0 duplicate
193 2 1 duplicate
194 3 0  
194 3 1  
195 1 0 duplicate
195 1 1 duplicate
196 0 0 duplicate
196 0 1 duplicate
197 2 0 duplicate
197 2 1 duplicate
198 3 0  
198 3 1  
199 1 0 duplicate
199 1 1 duplicate
200 0 0 duplicate
200 0 1 duplicate
201 2 0  
201 2 1  
202 3 0 duplicate
202 3 1 duplicate
203 1 0 duplicate
203 1 1 duplicate
204 0 0 duplicate
204 0 1 duplicate
205 2 0  
205 2 1  
206 3 0 duplicate
206 3 1 duplicate
207 1 0 duplicate
207 1 1 duplicate
208 0 0 duplicate
208 2 1 duplicate
209 2 0 duplicate
209 0 1 duplicate
210 3 0 duplicate
210 3 1 duplicate
211 1 0 duplicate
211 1 1 duplicate
212 0 0 duplicate
212 2 1 duplicate
213 2 0 duplicate
213 0 1 duplicate
214 3 0  
214 3 1  
215 1 0 duplicate
215 1 1 duplicate
216 0 0  
216 2 1  
217 2 0 duplicate
217 0 1 duplicate
218 3 0  
218 3 1  
219 1 0 duplicate
219 1 1 duplicate
220 0 0  
220 2 1  
221 2 0 duplicate
221 0 1 duplicate
222 3 0 duplicate
222 3 1 duplicate
223 1 0 duplicate
223 1 1 duplicate
224 0 0  
224 2 1  
225 2 0 duplicate
225 0 1 duplicate
226 3 0 duplicate
226 3 1 duplicate
227 1 0 duplicate
227 1 1 duplicate
228 0 0 duplicate
228 2 1 duplicate
229 2 0 duplicate
229 0 1 duplicate
230 3 0 duplicate
230 3 1 duplicate
231 1 0 duplicate
231 1 1 duplicate
232 0 0 duplicate
232 2 1 duplicate
233 2 0 duplicate
233 0 1 duplicate
234 3 0 duplicate
234 3 1 duplicate
235 1 0 duplicate
235 1 1 duplicate
236 0 0 duplicate
236 2 1 duplicate
237 2 0 duplicate
237 0 1 duplicate
238 3 0 duplicate
238 3 1 duplicate
239 1 0 duplicate
239 1 1 duplicate
240 0 0 duplicate
240 2 1 duplicate
241 2 0 duplicate
241 3 1 duplicate
242 3 0 duplicate
242 0 1 duplicate
243 1 0 duplicate
243 1 1 duplicate
244 0 0 duplicate
244 2 1 duplicate
245 2 0 duplicate
245 3 1 duplicate
246 3 0 duplicate
246 0 1 duplicate
247 1 0 duplicate
247 1 1 duplicate
248 0 0  
248 2 1  
249 2 0 duplicate
249 3 1 duplicate
250 3 0 duplicate
250 0 1 duplicate
251 1 0 duplicate
251 1 1 duplicate
252 0 0  
252 2 1  
253 2 0 duplicate
253 3 1 duplicate
254 3 0 duplicate
254 0 1 duplicate
255 1 0 duplicate
255 1 1 duplicate
256 0 0 duplicate
256 2 1 duplicate
257 2 0  
257 3 1  
258 3 0 duplicate
258 0 1 duplicate
259 1 0 duplicate
259 1 1 duplicate
260 0 0 duplicate
260 2 1 duplicate
261 2 0  
261 3 1  
262 3 0 duplicate
262 0 1 duplicate
263 1 0 duplicate
263 1 1 duplicate
264 0 0 duplicate
264 2 1 duplicate
265 2 0 duplicate
265 3 1 duplicate
266 3 0 duplicate
266 0 1 duplicate
267 1 0 duplicate
267 1 1 duplicate
268 0 0 duplicate
268 2 1 duplicate
269 2 0 duplicate
269 3 1 duplicate
270 3 0  
270 0 1  
271 1 0 duplicate
271 1 1 duplicate
272 0 0 duplicate
272 2 1 duplicate
273 2 0 duplicate
273 3 1 duplicate
274 3 0  
274 0 1  
275 1 0 duplicate
275 1 1 duplicate
276 0 0  
276 2 1  
277 2 0 duplicate
277 3 1 duplicate
278 3 0  
278 0 1  
279 1 0 duplicate
279 1 1 duplicate
280 0 0  
280 2 1  
281 2 0 duplicate
281 3 1 duplicate
282 3 0  
282 0 1  
283 1 0 duplicate
283 1 1 duplicate
284 0 0  
284 2 1  
285 2 0  
285 3 1  
286 3 0 duplicate
286 0 1 duplicate
287 1 0  
287 1 1  
288 0 0  
288 2 1  
289 2 0  
289 3 1  
290 3 0 duplicate
290 0 1 duplicate
291 1 0  
291 1 1  
292 0 0 duplicate
292 2 1 duplicate
293 2 0 duplicate
293 3 1 duplicate
294 3 0 duplicate
294 0 1 duplicate
295 1 0  
295 1 1  
296 0 0 duplicate
296 2 1 duplicate
297 2 0 duplicate
297 3 1 duplicate
298 3 0 duplicate
298 0 1 duplicate
299 1 0 duplicate
299 1 1 duplicate
300 0 0 duplicate
300 2 1 duplicate
301 2 0 duplicate
301 3 1 duplicate
302 3 0 duplicate
302 0 1 duplicate
303 1 0 duplicate
303 1 1 duplicate
304 0 0  
304 2 1  
305 2 0 duplicate
305 3 1 duplicate
306 3 0 duplicate
306 0 1 duplicate
307 1 0 duplicate
307 1 1 duplicate
308 0 0 duplicate
308 2 1 duplicate
309 2 0 duplicate
309 3 1 duplicate
310 3 0 duplicate
310 0 1 duplicate
311 1 0 duplicate
311 1 1 duplicate
312 0 0  
312 2 1  
313 2 0  
313 3 1  
314 3 0 duplicate
314 0 1 duplicate
315 1 0 duplicate
315 1 1 duplicate
316 0 0  
316 2 1  
317 2 0  
317 3 1  
318 3 0 duplicate
318 0 1 duplicate
319 1 0  
319 1 1  
320 0 0 duplicate
320 2 1 duplicate
321 2 0  
321 3 1  
322 3 0 duplicate
322 0 1 duplicate
323 1 0  
323 1 1  
324 0 0 duplicate
324 2 1 duplicate
325 2 0 duplicate
325 3 1 duplicate
326 3 0 duplicate
326 0 1 duplicate
327 1 0 duplicate
327 1 1 duplicate
328 0 0 duplicate
328 2 1 duplicate
329 2 0 duplicate
329 3 1 duplicate
330 3 0 duplicate
330 0 1 duplicate
331 1 0 duplicate
331 1 1 duplicate
332 0 0 duplicate
332 2 1 duplicate
333 2 0 duplicate
333 3 1 duplicate
334 3 0 duplicate
334 0 1 duplicate
335 1 0 duplicate
335 1 1 duplicate
336 0 0  
336 2 1  
337 2 0 duplicate
337 3 1 duplicate
338 3 0  
338 0 1  
339 1 0 duplicate
339 1 1 duplicate
340 0 0  
340 2 1  
341 2 0 duplicate
341 3 1 duplicate
342 3 0  
342 0 1  
343 1 0 duplicate
343 1 1 duplicate
344 0 0  
344 2 1  
345 2 0  
345 3 1  
346 3 0  
346 0 1  
347 1 0 duplicate
