['2013', '07', '02', '04', '33', '48', '0.955136', '0']
['2013', '07', '02', '04', '33', '49', '0.961792', '0']
['2013', '07', '02', '04', '33', '50', '0.968448', '0']
['2013', '07', '02', '04', '33', '51', '0.975104', '0']
['2013', '07', '02', '04', '33', '52', '0.981504', '0']
['2013', '07', '02', '04', '33', '53', '0.988160', '0']
['2013', '07', '02', '04', '33', '54', '0.994816', '0']
['2013', '07', '02', '04', '33', '56', '0.253440', '0']
['2013', '07', '02', '04', '33', '57', '0.259840', '0']
['2013', '07', '02', '04', '33', '58', '0.266496', '0']
['2013', '07', '02', '04', '33', '59', '0.524800', '0']
['2013', '07', '02', '04', '34', '00', '0.531456', '0']
['2013', '07', '02', '04', '34', '01', '0.538112', '0']
['2013', '07', '02', '04', '34', '02', '0.544512', '0']
['2013', '07', '02', '04', '34', '03', '0.551168', '0']
['2013', '07', '02', '04', '34', '04', '0.557824', '0']
['2013', '07', '02', '04', '34', '05', '0.564480', '0']
['2013', '07', '02', '04', '34', '06', '0.823040', '0']
['2013', '07', '02', '04', '34', '07', '0.829696', '0']
['2013', '07', '02', '04', '34', '08', '0.836096', '0']
['2013', '07', '02', '04', '34', '09', '0.842752', '0']
['2013', '07', '02', '04', '34', '10', '0.849664', '0']
['2013', '07', '02', '04', '34', '11', '0.856064', '0']
['2013', '07', '02', '04', '34', '12', '0.862720', '0']
['2013', '07', '02', '04', '34', '13', '0.869376', '0']
['2013', '07', '02', '04', '34', '14', '0.876032', '0']
['2013', '07', '02', '04', '34', '15', '0.882688', '0']
['2013', '07', '02', '04', '34', '16', '0.889344', '0']
['2013', '07', '02', '04', '34', '17', '0.896000', '0']
['2013', '07', '02', '04', '34', '18', '0.902656', '0']
['2013', '07', '02', '04', '34', '19', '0.909312', '0']
['2013', '07', '02', '04', '34', '20', '0.915712', '0']
['2013', '07', '02', '04', '34', '21', '0.922368', '0']
['2013', '07', '02', '04', '34', '22', '0.929024', '0']
['2013', '07', '02', '04', '34', '23', '0.935680', '0']
['2013', '07', '02', '04', '34', '24', '0.942336', '0']
['2013', '07', '02', '04', '34', '25', '0.948992', '0']
['2013', '07', '02', '04', '34', '26', '0.955648', '0']
['2013', '07', '02', '04', '34', '27', '0.962304', '0']
['2013', '07', '02', '04', '34', '28', '0.968960', '0']
['2013', '07', '02', '04', '34', '29', '0.975360', '0']
['2013', '07', '02', '04', '34', '30', '0.982272', '0']
['2013', '07', '02', '04', '34', '31', '0.988928', '0']
['2013', '07', '02', '04', '34', '32', '0.995584', '0']
['2013', '07', '02', '04', '34', '34', '0.002048', '0']
['2013', '07', '02', '04', '34', '35', '0.008704', '0']
['2013', '07', '02', '04', '34', '36', '0.015360', '0']
['2013', '07', '02', '04', '34', '37', '0.022016', '0']
['2013', '07', '02', '04', '34', '38', '0.028672', '0']
['2013', '07', '02', '04', '34', '39', '0.035328', '0']
['2013', '07', '02', '04', '34', '40', '0.041728', '0']
['2013', '07', '02', '04', '34', '41', '0.048384', '0']
['2013', '07', '02', '04', '34', '42', '0.055040', '0']
['2013', '07', '02', '04', '34', '43', '0.061696', '0']
['2013', '07', '02', '04', '34', '44', '0.068352', '0']
['2013', '07', '02', '04', '34', '45', '0.075008', '0']
['2013', '07', '02', '04', '34', '46', '0.333056', '0']
['2013', '07', '02', '04', '34', '47', '0.339712', '0']
['2013', '07', '02', '04', '34', '48', '0.346368', '0']
['2013', '07', '02', '04', '34', '49', '0.604928', '0']
['2013', '07', '02', '04', '34', '50', '0.862976', '0']
['2013', '07', '02', '04', '34', '52', '0.121344', '0']
['2013', '07', '02', '04', '34', '53', '0.128000', '0']
['2013', '07', '02', '04', '34', '54', '0.134656', '0']
['2013', '07', '02', '04', '34', '55', '0.141312', '0']
['2013', '07', '02', '04', '34', '56', '0.147968', '0']
['2013', '07', '02', '04', '34', '57', '0.154624', '0']
['2013', '07', '02', '04', '34', '58', '0.161280', '0']
['2013', '07', '02', '04', '34', '59', '0.167936', '0']
['2013', '07', '02', '04', '35', '00', '0.174592', '0']
['2013', '07', '02', '04', '35', '01', '0.180992', '0']
['2013', '07', '02', '04', '35', '02', '0.187648', '0']
['2013', '07', '02', '04', '35', '03', '0.194304', '0']
['2013', '07', '02', '04', '35', '04', '0.200960', '0']
['2013', '07', '02', '04', '35', '05', '0.207616', '0']
['2013', '07', '02', '04', '35', '06', '0.214272', '0']
['2013', '07', '02', '04', '35', '07', '0.220928', '0']
['2013', '07', '02', '04', '35', '08', '0.227584', '0']
['2013', '07', '02', '04', '35', '09', '0.234240', '0']
['2013', '07', '02', '04', '35', '10', '0.240896', '0']
['2013', '07', '02', '04', '35', '11', '0.247552', '0']
['2013', '07', '02', '04', '35', '12', '0.253952', '0']
['2013', '07', '02', '04', '35', '13', '0.260608', '0']
['2013', '07', '02', '04', '35', '14', '0.267264', '0']
['2013', '07', '02', '04', '35', '15', '0.273920', '0']
['2013', '07', '02', '04', '35', '16', '0.280576', '0']
['2013', '07', '02', '04', '35', '17', '0.287232', '0']
['2013', '07', '02', '04', '35', '18', '0.293888', '0']
['2013', '07', '02', '04', '35', '19', '0.300544', '0']
['2013', '07', '02', '04', '35', '20', '0.307200', '0']
['2013', '07', '02', '04', '35', '21', '0.313856', '0']
['2013', '07', '02', '04', '35', '22', '0.320512', '0']
['2013', '07', '02', '04', '35', '23', '0.327168', '0']
['2013', '07', '02', '04', '35', '24', '0.333568', '0']
['2013', '07', '02', '04', '35', '25', '0.340224', '0']
['2013', '07', '02', '04', '35', '26', '0.094976', '0']
['2013', '07', '02', '04', '35', '27', '0.101632', '0']
['2013', '07', '02', '04', '35', '28', '0.108288', '0']
['2013', '07', '02', '04', '35', '29', '0.114944', '0']
['2013', '07', '02', '04', '35', '30', '0.121600', '0']
['2013', '07', '02', '04', '35', '30', '0.876800', '0']
['2013', '07', '02', '04', '35', '31', '0.883456', '0']
['2013', '07', '02', '04', '35', '32', '0.890112', '0']
['2013', '07', '02', '04', '35', '33', '0.896512', '0']
['2013', '07', '02', '04', '35', '34', '0.903168', '0']
['2013', '07', '02', '04', '35', '35', '0.909824', '0']
['2013', '07', '02', '04', '35', '36', '0.916480', '0']
['2013', '07', '02', '04', '35', '37', '0.923136', '0']
['2013', '07', '02', '04', '35', '38', '0.929792', '0']
['2013', '07', '02', '04', '35', '39', '0.936448', '0']
['2013', '07', '02', '04', '35', '40', '0.943104', '0']
['2013', '07', '02', '04', '35', '41', '0.949760', '0']
['2013', '07', '02', '04', '35', '43', '0.207872', '0']
['2013', '07', '02', '04', '35', '44', '0.214528', '0']
['2013', '07', '02', '04', '35', '45', '0.221184', '0']
['2013', '07', '02', '04', '35', '46', '0.479488', '0']
['2013', '07', '02', '04', '35', '47', '0.486144', '0']
['2013', '07', '02', '04', '35', '48', '0.744192', '0']
['2013', '07', '02', '04', '35', '49', '0.750848', '0']
['2013', '07', '02', '04', '35', '50', '0.757504', '0']
