156 1 1  
156 0 0  
157 0 1  
157 2 0  
158 2 1  
158 1 0  
159 3 1  
159 3 0  
160 1 1  
160 0 0  
161 0 1  
161 2 0  
162 2 1  
162 1 0  
163 3 1  
163 3 0  
164 1 1  
164 0 0  
165 0 1  
165 2 0  
166 2 1  
166 1 0  
167 3 1  
167 3 0  
168 1 1  
168 0 0  
169 0 1  
169 2 0  
170 2 1  
170 1 0  
171 3 1  
171 0 0  
172 1 1  
172 3 0  
173 0 1  
173 2 0  
174 2 1  
174 1 0  
175 3 1  
175 0 0  
176 1 1  
176 2 0  
177 0 1  
177 3 0  
178 2 1  
178 1 0  
179 3 1  
179 0 0  
180 1 1  
180 2 0  
181 0 1  
181 3 0  
182 2 1  
182 0 0  
183 3 1  
183 1 0  
184 1 1  
184 2 0  
185 0 1  
185 3 0  
186 2 1  
186 0 0  
187 3 1  
187 2 0  
188 1 1  
188 1 0  
189 0 1  
189 3 0  
190 2 1  
190 0 0  
191 3 1  
191 2 0  
192 1 1  
192 1 0  
193 0 1  
193 0 0  
194 2 1  
194 3 0  
195 3 1  
195 2 0  
196 1 1  
196 1 0  
197 0 1  
197 0 0  
198 2 1  
198 3 0  
199 3 1  
199 2 0  
200 1 1  
200 1 0  
201 0 1  
201 0 0  
202 2 1  
202 3 0  
203 3 1  
203 2 0  
204 1 1  
204 1 0  
205 0 1  
205 0 0  
206 2 1  
206 3 0  
207 3 1  
207 2 0  
208 1 1  
208 1 0  
209 0 1  
209 0 0  
210 2 1  
210 3 0  
211 3 1  
211 2 0  
212 1 1  
212 1 0  
213 0 1  
213 0 0  
214 2 1  
214 3 0  
215 3 1  
215 2 0  
216 1 1  
216 1 0  
217 0 1  
217 0 0  
218 2 1  
218 3 0  
219 3 1  
219 2 0  
220 1 1  
220 1 0  
221 0 1  
221 0 0  
222 2 1  
222 3 0  
223 3 1  
223 2 0  
224 1 1  
224 1 0  
225 0 1  
225 0 0  
226 2 1  
226 3 0  
227 3 1  
227 2 0  
228 1 1  
228 1 0  
229 0 1  
229 0 0  
230 2 1  
230 3 0  
231 3 1  
231 2 0  
232 1 1  
232 1 0  
233 0 1  
233 0 0  
234 2 1  
234 3 0  
235 3 1  
235 2 0  
236 1 1  
236 1 0  
237 0 1  
237 0 0  
238 2 1  
238 3 0  
239 3 1  
239 2 0  
240 1 1  
240 1 0  
241 0 1  
241 0 0  
242 2 1  
242 3 0  
243 3 1  
243 2 0  
244 1 1  
244 1 0  
245 0 1  
245 0 0  
246 2 1  
246 3 0  
247 3 1  
247 2 0  
248 1 1  
248 1 0  
249 0 1  
249 0 0  
250 2 1  
250 3 0  
251 3 1  
251 2 0  
252 1 1  
252 1 0  
253 0 1  
253 0 0  
254 2 1  
254 3 0  
255 3 1  
255 2 0  
256 1 1  
256 1 0  
257 0 1  
257 0 0  
258 2 1  
258 3 0  
259 3 1  
259 2 0  
260 1 1  
260 1 0  
261 0 1  
261 0 0  
262 2 1  
262 3 0  
263 3 1  
263 2 0  
264 1 1  
264 1 0  
265 0 1  
265 0 0  
266 2 1  
266 3 0  
267 3 1  
267 2 0  
268 1 1  
268 1 0  
269 0 1  
269 0 0  
270 2 1  
270 3 0  
271 3 1  
271 2 0  
272 1 1  
272 0 0  
273 0 1  
273 1 0  
274 2 1  
274 3 0  
275 3 1  
275 2 0  
276 1 1  
276 0 0  
277 0 1  
277 1 0  
278 2 1  
278 3 0  
279 3 1  
279 2 0  
280 1 1  
280 0 0  
281 0 1  
281 1 0  
282 2 1  
282 3 0  
283 3 1  
283 2 0  
284 0 1  
284 0 0  
285 1 1  
285 1 0  
286 2 1  
286 3 0  
287 3 1  
287 2 0  
288 0 1  
288 0 0  
289 1 1  
289 1 0  
290 2 1  
290 3 0  
291 3 1  
