2 3 1  
330 3 1 duplicate
331 3 0 duplicate
331 0 1 duplicate
332 2 0 duplicate
332 2 1 duplicate
333 0 0 duplicate
333 3 1 duplicate
334 1 0 duplicate
334 1 1 duplicate
335 3 0 duplicate
335 0 1 duplicate
336 2 0 duplicate
336 2 1 duplicate
337 0 0 duplicate
337 3 1 duplicate
338 1 0 duplicate
338 1 1 duplicate
339 3 0 duplicate
339 0 1 duplicate
340 2 0 duplicate
340 2 1 duplicate
341 0 0 duplicate
341 3 1 duplicate
342 3 0 duplicate
342 1 1 duplicate
343 1 0 duplicate
343 2 1 duplicate
344 2 0 duplicate
344 0 1 duplicate
345 0 0 duplicate
345 3 1 duplicate
346 3 0 duplicate
346 1 1 duplicate
347 2 0 duplicate
347 2 1 duplicate
348 1 0 duplicate
348 0 1 duplicate
349 0 0 duplicate
349 3 1 duplicate
350 3 0 duplicate
350 1 1 duplicate
351 2 0 duplicate
351 2 1 duplicate
352 1 0 duplicate
352 3 1 duplicate
353 0 0 duplicate
353 0 1 duplicate
354 3 0 duplicate
354 1 1 duplicate
355 2 0 duplicate
355 2 1 duplicate
356 1 0 duplicate
356 3 1 duplicate
357 0 0 duplicate
357 0 1 duplicate
358 3 0 duplicate
358 1 1 duplicate
359 2 0 duplicate
359 2 1 duplicate
360 1 0 duplicate
360 3 1 duplicate
361 0 0 duplicate
361 0 1 duplicate
362 3 0 duplicate
362 1 1 duplicate
363 2 0 duplicate
363 2 1 duplicate
364 1 0 duplicate
364 3 1 duplicate
365 0 0 duplicate
365 0 1 duplicate
366 3 0 duplicate
366 1 1 duplicate
367 2 0 duplicate
367 2 1 duplicate
368 1 0 duplicate
368 3 1 duplicate
369 0 0 duplicate
369 0 1 duplicate
370 3 0 duplicate
370 1 1 duplicate
371 2 0 duplicate
371 2 1 duplicate
372 1 0 duplicate
372 3 1 duplicate
373 0 0 duplicate
373 0 1 duplicate
374 3 0 duplicate
374 1 1 duplicate
375 2 0 duplicate
375 2 1 duplicate
376 1 0 duplicate
376 3 1 duplicate
377 0 0 duplicate
377 0 1 duplicate
378 3 0 duplicate
378 1 1 duplicate
379 2 0 duplicate
379 2 1 duplicate
380 1 0 duplicate
380 3 1 duplicate
381 0 0 duplicate
381 0 1 duplicate
382 3 0 duplicate
382 1 1 duplicate
383 2 0 duplicate
383 2 1 duplicate
384 1 0 duplicate
384 3 1 duplicate
385 0 0 duplicate
385 0 1 duplicate
386 3 0 duplicate
386 1 1 duplicate
387 2 0 duplicate
387 2 1 duplicate
388 1 0 duplicate
388 3 1 duplicate
389 0 0 duplicate
389 0 1 duplicate
390 3 0 duplicate
390 1 1 duplicate
391 2 0 duplicate
391 2 1 duplicate
392 1 0 duplicate
392 3 1 duplicate
393 0 0 duplicate
393 0 1 duplicate
394 3 0 duplicate
394 1 1 duplicate
395 2 0 duplicate
395 2 1 duplicate
396 1 0 duplicate
396 3 1 duplicate
397 0 0 duplicate
397 0 1 duplicate
398 3 0 duplicate
398 1 1 duplicate
399 2 0 duplicate
399 2 1 duplicate
400 1 0 duplicate
400 3 1 duplicate
401 0 0 duplicate
401 0 1 duplicate
402 3 0 duplicate
402 1 1 duplicate
403 2 0 duplicate
403 2 1 duplicate
404 1 0 duplicate
404 3 1 duplicate
405 0 0 duplicate
405 0 1 duplicate
406 3 0 duplicate
406 1 1 duplicate
407 2 0 duplicate
407 3 1 duplicate
408 1 0 duplicate
408 2 1 duplicate
409 0 0 duplicate
409 0 1 duplicate
410 3 0 duplicate
410 1 1 duplicate
411 2 0 duplicate
411 3 1 duplicate
412 1 0 duplicate
412 2 1 duplicate
413 0 0 duplicate
413 0 1 duplicate
414 3 0 duplicate
414 1 1 duplicate
415 2 0 duplicate
415 3 1 duplicate
416 1 0 duplicate
416 2 1 duplicate
417 0 0 duplicate
417 0 1 duplicate
418 3 0 duplicate
418 1 1 duplicate
419 2 0 duplicate
419 3 1 duplicate
420 1 0 duplicate
420 2 1 duplicate
421 0 0 duplicate
421 0 1 duplicate
422 3 0 duplicate
422 1 1 duplicate
423 2 0 duplicate
423 3 1 duplicate
424 0 0 duplicate
424 2 1 duplicate
425 1 0 duplicate
425 0 1 duplicate
426 3 0 duplicate
426 1 1 duplicate
427 2 0 duplicate
427 3 1 duplicate
428 0 0 duplicate
428 2 1 duplicate
429 1 0 duplicate
429 0 1 duplicate
430 3 0 duplicate
430 1 1 duplicate
431 2 0 duplicate
431 3 1 duplicate
432 0 0 duplicate
432 2 1 duplicate
433 3 0 duplicate
433 0 1 duplicate
434 1 0 duplicate
434 1 1 duplicate
435 2 0 duplicate
